Universitas,Prodi,Rank
universitas hasanuddin,kedokteran hewan,11.0
universitas hang tuah pekanbaru,kebidanan,999.0
sekolah tinggi ilmu kesehatan rajekwesi bojonegoro,kebidanan,999.0
politeknik kesehatan kementerian kesehatan yogyakarta,keperawatan,999.0
politeknik kesehatan kementerian kesehatan jakarta i,kebidanan,999.0
politeknik kesehatan kementerian kesehatan jakarta i,keperawatan,999.0
politekknik kesehatan kementerian kesehatan riau,kebidanan,999.0
akademi kesehatan arga husada,fisioterapi,999.0
akademi farmasi prayoga padang,farmasi,999.0
universitas siliwangi,akuntansi,999.0
universitas pamulang,administrasi perkantoran,999.0
universitas nahdlatul ulama purwokerto,manajemen,999.0
stai raudhatul akmal,ekonomi syariah,999.0
universitas pignatelli triputra,manajemen,999.0
sekolah tinggi ilmu ekonomi jambi,manajemen,999.0
universitas teknologi bandung,bisnis digital,999.0
institut agama islam negeri kerinci,manajemen bisnis syariah,999.0
politeknik sukabumi,administrasi bisnis,999.0
universitas muhammadiyah sinjai,bisnis digital,999.0
politeknik kesehatan kementerian kesehatan gorontalo,keperawatan,999.0
universitas 17 agustus 1945 cirebon,manajemen,999.0
universitas nusa bangsa,akuntansi,999.0
universitas muhammadiyah aceh,akuntansi,999.0
universitas cendekia mitra indonesia,manajemen,999.0
sekolah tinggi ilmu ekonomi sutaatmadja,manajemen,999.0
universitas masoem,komputerisasi akuntansi,999.0
universitas muslim nusantara alwashliyah,akuntansi,999.0
universitas doktor husni ingratubun tual,manajemen,999.0
sekolah tinggi ilmu ekonomi bina karya,manajemen,999.0
institut keuanganperbankan dan informatika asia perbanas,manajemen,999.0
universitas wijayakusuma purwokerto,manajemen,999.0
universitas 17 agustus 1945 jakarta,bisnis digital,999.0
universitas sumatera utara,ekonomi pembangunan,14.0
sekolah tinggi ekonomi dan bisnis islam al jabar bandung jawa barat,ekonomi syariah,999.0
politeknik cristo re,ekowisata,999.0
universitas islam negeri sayyid ali rahmatullah tulungagung,ekonomi syariah,999.0
universitas sali alaitaam,kewirausahaan,999.0
politeknik semen indonesia,administrasi perkantoran,999.0
institut teknologi statistika dan bisnis muhammadiyah semarang,manajemen ritel,999.0
universitas tunas pembangunan surakarta,akuntansi,999.0
stai nida el adabi parung panjang bogor,ekonomi syariah,999.0
sekolah tinggi ilmu ekonomi palangka raya,ekonomi pembangunan,999.0
politeknik bina madani,akuntansi,999.0
universitas aisyah pringsewu,gizi,999.0
politeknik kesehatan kementerian kesehatan bengkulu,kebidanan,999.0
institut teknologi bacharuddin jusuf habibie,teknik robotik dan kecerdasan buatan,999.0
institut teknologi bacharuddin jusuf habibie,teknik perkapalan,999.0
universitas presiden,agribisnis,999.0
sekolah tinggi ekonomi dan bisnis syariah indo global mandiri,hukum ekonomi syariah,999.0
institut agama islam riyadlatul mujahidin ngabar ponorogo,hukum keluarga islam,999.0
universitas telkom,desain komunikasi visual,999.0
institut teknologi dan bisnis nusantara,agribisnis,999.0
universitas lakidende unaaha,agribisnis,999.0
universitas muria kudus,agribisnis,999.0
institut seni indonesia denpasar,animasi,999.0
universitas gadjah mada,bahasa jepang untuk komunikasi bisnis dan profesional,2.0
universitas negeri yogyakarta,ilmu hukum,19.0
universitas baturaja,hukum bisnis,999.0
akademi komunitas peternakan jorong,pengembangbiakan sapi,999.0
institut teknologi dan sains padang lawas utara,peternakan,999.0
institut agama islam nahdlatul ulama tuban,psikologi islam,999.0
universitas mayjen sungkono,agribisnis,999.0
stai babunnajah pandeglang,hukum keluarga,999.0
universitas lakidende unaaha,administrasi publik,999.0
universitas doktor husni ingratubun papua,agribisnis,999.0
stai almusdariyah cimahi,hukum ekonomi syariah,999.0
iain palangkaraya,bimbingan konseling islam,999.0
sekolah tinggi agama islam azzain sampang,hukum keluarga islam,999.0
stai almusaddadiyah garut,hukum keluarga islam,999.0
universitas sains indonesia,hukum,999.0
universitas sains indonesia,psikologi,999.0
universitas negeri padang,ilmu lingkungan,21.0
universitas negeri padang,teknologi kosmetik,21.0
sekolah tinggi teologi simpson ungaran,misi dan komunikasi kristen,999.0
politeknik maritim ami makassar,teknologi rekayasa operasi kapal,999.0
universitas syiah kuala,teknologi industri hasil perikanan,23.0
akademi komunitas kelautan dan perikanan wakatobi,konservasi,999.0
universitas bina taruna gorontalo,hukum bisnis,999.0
universitas presiden,arsitektur,999.0
politeknik bentara citra bangsa,linguistik terapan,999.0
universitas rokania,hukum,999.0
universitas kh bahaudin mudhary madura,hukum bisnis,999.0
universitas kh bahaudin mudhary madura,bahasa dan kebudayaan inggris,999.0
universitas borneo tarakan,psikologi,999.0
universitas deztron indonesia,sastra inggris,999.0
universitas mulawarman,ilmu keolahragaan,999.0
universitas cenderawasih,planologi,999.0
universitas muhammadiyah maluku utara,ilmu pemerintahan,999.0
universitas sultan ageng tirtayasa,peternakan,999.0
universitas pamulang,ilmu komunikasi,999.0
universitas presiden,desain interior,999.0
universitas djuanda,teknologi industri pertanian,999.0
sekolah tinggi ilmu administrasi maulana yusuf banten,administrasi publik,999.0
universitas wahid hasyim,ilmu hubungan internasional,999.0
universitas wahid hasyim,ilmu politik,999.0
politeknik kelautan dan perikanan bitung,mekanisasi perikanan,999.0
universitas siber muhammadiyah,pjj hukum,999.0
akademi pertanian yogyakarta,budidaya tanaman pangan,999.0
universitas negeri malang,ilmu komunikasi,22.0
universitas muhammadiyah karanganyar,ilmu komunikasi,999.0
institut teknologi dan sains padang lawas utara,agroteknologi,999.0
universitas nasional,agroteknologi,999.0
universitas simalungun,kehutanan,999.0
universitas muhammadiyah aceh,agribisnis,999.0
universitas iba,agribisnis,999.0
sekolah tinggi ilmu administrasi lppn,administrasi publik,999.0
universitas kalbis,ilmu komunikasi,999.0
institut agama kristen negeri toraja,misiologi,999.0
universitas cendekia mitra indonesia,desain komunikasi visual,999.0
universitas karya husada semarang,hukum,999.0
universitas muhammadiyah karanganyar,peternakan,999.0
institut bisnis dan teknologi indonesia,desain komunikasi visual,999.0
universitas muslim buton,peradilan pidana,999.0
universitas muslim buton,administrasi pemerintahan daerah,999.0
politeknik negeri bali,perhotelan,999.0
sekolah tinggi agama islam azzain sampang,ilmu alquran dan tafsir,999.0
stai maarif kendal ngawi,muamalah,999.0
institut seni budaya indonesia bandung,seni karawitan,999.0
institut agama islam negeri madura,ilmu hadis,999.0
iain manado,hukum keluarga,999.0
institut agama islam latifah mubarokiyah suryalaya tasikmalaya,hukum ekonomi syariah,999.0
universitas islam negeri sayyid ali rahmatullah tulungagung,hukum keluarga islam,999.0
institut ilmu sosial dan bisnis andi sapada,ilmu hukum,999.0
universitas maritim amni,ketatalaksanaan pelayaran niaga dan kepelabuhan,999.0
universitas bina nusantara,sastra cina,10.0
universitas brawijaya,perencanaan wilayah dan kota,9.0
universitas islam negeri imam bonjol padang,ilmu alquran dan tafsir,999.0
universitas al asyariah mandar,agroteknologi,999.0
universitas pertiwi,desain komunikasi visual,999.0
universitas pertahanan,kimia,999.0
universitas pertahanan,matematika,999.0
universitas islam negeri sultan maulana hasanuddin banten,asuransi syariah,999.0
universitas negeri padang,statistika,21.0
universitas pattimura,matematika,999.0
universitas islam bandung,akuntansi,999.0
universitas koperasi indonesia,akuntansi,999.0
universitas negeri makassar,administrasi bisnis,999.0
sekolah tinggi ilmu ekonomi mulia darma pratama,manajemen,999.0
universitas hindu negeri i gusti bagus sugriwa denpasar,kewirausahaan,999.0
universitas mega buana palopo,kewirausahaan,999.0
institut administrasi dan kesehatan setih setio muara bungo,ilmu administrasi niaga,999.0
